tourney_id,Stack,mean_chip_ev,median_chip_ev,std_chip_ev,n_observations
672,200.0,19.4433247735446,9.772223499999999,123.74825779896017,132472
673,200.0,12.958881279264324,1.509554,125.74750588393724,308396
674,500.0,-22.39852513095238,-50.4133815,373.8069010564655,84
677,300.0,30.60388460689788,7.112616,211.80485703105128,15599
677,400.0,46.54054860918463,8.457890500000001,307.47505644162214,2134
677,500.0,93.96998528947368,34.9384605,421.94314064622625,228
678,300.0,23.553903188033406,2.590673,206.69449449011688,65499
678,400.0,20.989879840399297,-17.508962,300.9518131100203,8515
678,500.0,47.71078373809524,1.6521745,408.50991776597357,798
679,300.0,24.573704367927,1.2111865000000002,212.79962460155457,206030
679,400.0,37.17611500926303,-3.145656,317.59313764812515,26989
679,500.0,61.93389741557957,0.451135,431.93586200771557,2683
680,300.0,16.56980101131609,-5.4947015,207.10847192939448,337484
680,400.0,25.172415764297817,-16.548352,313.0527041900619,44255
680,500.0,50.74527815603831,-1.894687,426.8510581636114,4281
681,300.0,12.319812797490071,-9.152994,204.36582747561698,320009
681,400.0,18.960740125602257,-20.419966,307.34226940362885,42133
681,500.0,22.80299644868797,-32.602871,407.2596490305081,3849
682,300.0,10.226853960426613,-12.03433,208.6013134761722,126297
682,400.0,21.756945938261232,-18.612924,315.4332043155629,16667
682,500.0,22.614214649561106,-42.55091,423.9358832361271,1481
683,300.0,10.145114254195654,-10.335624,205.13593366657332,118873
683,400.0,12.27443349034944,-28.1602705,309.2830896741603,15854
683,500.0,12.774689917382682,-40.079705,403.9088880460342,1513
684,300.0,13.441422253443376,-7.778046,205.73988413001663,18296
684,400.0,18.804440295296523,-11.409722,303.14580096832844,2445
684,500.0,-2.8500286031746014,-69.5269345,397.3621422179867,252
685,300.0,15.214677256637168,-10.318772,209.95124880365913,1695
685,400.0,19.18124612442396,-10.349214,294.3400113343117,217
685,500.0,-74.24126657142857,-217.298039,497.3871612386386,21
686,300.0,9.488425941761363,-12.382658,208.37956207323492,704
686,400.0,6.409097999999999,-35.245026499999994,293.7019746920426,78
686,500.0,-239.4458095,-287.66532099999995,382.0569515083349,4
695,200.0,-58.318751666666664,-83.967952,156.09442119758654,3
696,200.0,26.304199500000003,26.304199500000003,17.434148318184075,2
697,200.0,-74.608265,-74.608265,,1
